DEBUG:root:start insert company for 'AAPL'
DEBUG:root:insert value for 'AAPL' in '2016-10-18'
DEBUG:root:insert value for 'AAPL' in '2016-10-17'
DEBUG:root:insert value for 'AAPL' in '2016-10-14'
DEBUG:root:insert value for 'AAPL' in '2016-10-13'
DEBUG:root:insert value for 'AAPL' in '2016-10-12'
DEBUG:root:insert value for 'AAPL' in '2016-10-11'
DEBUG:root:insert value for 'AAPL' in '2016-10-10'
DEBUG:root:insert value for 'AAPL' in '2016-10-07'
DEBUG:root:insert value for 'AAPL' in '2016-10-06'
DEBUG:root:insert value for 'AAPL' in '2016-10-05'
DEBUG:root:insert value for 'AAPL' in '2016-10-04'
DEBUG:root:insert value for 'AAPL' in '2016-10-03'
DEBUG:root:insert value for 'AAPL' in '2016-09-30'
DEBUG:root:insert value for 'AAPL' in '2016-09-29'
DEBUG:root:insert value for 'AAPL' in '2016-09-28'
DEBUG:root:insert value for 'AAPL' in '2016-09-27'
DEBUG:root:insert value for 'AAPL' in '2016-09-26'
DEBUG:root:insert value for 'AAPL' in '2016-09-23'
DEBUG:root:insert value for 'AAPL' in '2016-09-22'
DEBUG:root:insert value for 'AAPL' in '2016-09-21'
DEBUG:root:insert value for 'AAPL' in '2016-09-20'
DEBUG:root:insert value for 'AAPL' in '2016-09-19'
DEBUG:root:insert value for 'AAPL' in '2016-09-16'
DEBUG:root:insert value for 'AAPL' in '2016-09-15'
DEBUG:root:insert value for 'AAPL' in '2016-09-14'
DEBUG:root:insert value for 'AAPL' in '2016-09-13'
DEBUG:root:insert value for 'AAPL' in '2016-09-12'
DEBUG:root:insert value for 'AAPL' in '2016-09-09'
DEBUG:root:insert value for 'AAPL' in '2016-09-08'
DEBUG:root:insert value for 'AAPL' in '2016-09-07'
DEBUG:root:insert value for 'AAPL' in '2016-09-06'
DEBUG:root:insert value for 'AAPL' in '2016-09-02'
DEBUG:root:insert value for 'AAPL' in '2016-09-01'
DEBUG:root:insert value for 'AAPL' in '2016-08-31'
DEBUG:root:insert value for 'AAPL' in '2016-08-30'
DEBUG:root:insert value for 'AAPL' in '2016-08-29'
DEBUG:root:insert value for 'AAPL' in '2016-08-26'
DEBUG:root:insert value for 'AAPL' in '2016-08-25'
DEBUG:root:insert value for 'AAPL' in '2016-08-24'
DEBUG:root:insert value for 'AAPL' in '2016-08-23'
DEBUG:root:insert value for 'AAPL' in '2016-08-22'
DEBUG:root:insert value for 'AAPL' in '2016-08-19'
DEBUG:root:insert value for 'AAPL' in '2016-08-18'
DEBUG:root:insert value for 'AAPL' in '2016-08-17'
DEBUG:root:insert value for 'AAPL' in '2016-08-16'
DEBUG:root:insert value for 'AAPL' in '2016-08-15'
DEBUG:root:insert value for 'AAPL' in '2016-08-12'
DEBUG:root:insert value for 'AAPL' in '2016-08-11'
DEBUG:root:insert value for 'AAPL' in '2016-08-10'
DEBUG:root:insert value for 'AAPL' in '2016-08-09'
DEBUG:root:insert value for 'AAPL' in '2016-08-08'
DEBUG:root:insert value for 'AAPL' in '2016-08-05'
DEBUG:root:insert value for 'AAPL' in '2016-08-04'
